,,,,family,,,Uniprot,
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,A1A5C7,686
PF14722,Ki-ras-induced actin-interacting protein-IP3R-interacting domain,pfam,family,IPR029325,-,-,A2RU30,521
PF01128,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,pfam,family,IPR034683,-,-,A4D126,451
PF14753,Protein FAM221A/B,pfam,family,IPR026755,-,-,A4D161,298
PF01926,50S ribosome-binding GTPase,pfam,family,IPR006073,-,-,A4D1E9,387
PF06159,Protein of unknown function (DUF974),pfam,family,IPR010378,-,-,A5PLN9,417
PF15443,Domain of unknown function (DUF4630),pfam,family,IPR027868,-,-,A6NCS6,295
PF03285,Paralemmin,pfam,family,IPR004965,-,-,A6NDB9,673
PF17716,RAB7A-interacting MON1-CCZ1 complex subunit 1,pfam,family,IPR037657,-,-,A6NDU8,294
PF02205,WH2 motif,pfam,family,IPR003124,-,-,A6NGB9,483
PF05351,"GMP-PDE, delta subunit",pfam,family,IPR008015,-,-,A6NIH7,251
PF13908,Wnt and FGF inhibitory regulator,pfam,family,IPR026910,-,-,A6NL88,538
PF16297,Domain of unknown function (DUF4939),pfam,family,IPR032549,-,-,A6ZKI3,113
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,A1A5C7,686
PF14722,Ki-ras-induced actin-interacting protein-IP3R-interacting domain,pfam,family,IPR029325,-,-,A2RU30,521
PF01128,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,pfam,family,IPR034683,-,-,A4D126,451
PF14753,Protein FAM221A/B,pfam,family,IPR026755,-,-,A4D161,298
PF01926,50S ribosome-binding GTPase,pfam,family,IPR006073,-,-,A4D1E9,387
PF06159,Protein of unknown function (DUF974),pfam,family,IPR010378,-,-,A5PLN9,417
PF15443,Domain of unknown function (DUF4630),pfam,family,IPR027868,-,-,A6NCS6,295
PF03285,Paralemmin,pfam,family,IPR004965,-,-,A6NDB9,673
PF17716,RAB7A-interacting MON1-CCZ1 complex subunit 1,pfam,family,IPR037657,-,-,A6NDU8,294
PF02205,WH2 motif,pfam,family,IPR003124,-,-,A6NGB9,483
PF05351,"GMP-PDE, delta subunit",pfam,family,IPR008015,-,-,A6NIH7,251
PF13908,Wnt and FGF inhibitory regulator,pfam,family,IPR026910,-,-,A6NL88,538
PF16297,Domain of unknown function (DUF4939),pfam,family,IPR032549,-,-,A6ZKI3,113
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,A1A5C7,686
PF14722,Ki-ras-induced actin-interacting protein-IP3R-interacting domain,pfam,family,IPR029325,-,-,A2RU30,521
PF01128,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,pfam,family,IPR034683,-,-,A4D126,451
PF14753,Protein FAM221A/B,pfam,family,IPR026755,-,-,A4D161,298
PF01926,50S ribosome-binding GTPase,pfam,family,IPR006073,-,-,A4D1E9,387
PF06159,Protein of unknown function (DUF974),pfam,family,IPR010378,-,-,A5PLN9,417
