,,,,domain,,,Uniprot,
PF00370,"FGGY family of carbohydrate kinases, N-terminal domain",pfam,domain,IPR018484,-,-,Q9UHJ6,478
PF07686,Immunoglobulin V-set domain,pfam,domain,IPR013106,-,-,A0A0C4DH38,117
PF00899,ThiF family,pfam,domain,IPR000594,-,-,A0AVT1,1052
PF09358,Ubiquitin fold domain,pfam,domain,IPR018965,-,-,A0AVT1,1052
PF10585,"Ubiquitin-activating enzyme, SCCH domain",pfam,domain,IPR019572,-,-,A0AVT1,1052
PF16190,Ubiquitin-activating enzyme E1 FCCH domain,pfam,domain,IPR032418,-,-,A0AVT1,1052
PF16191,Ubiquitin-activating enzyme E1 four-helix bundle,pfam,domain,IPR032420,-,-,A0AVT1,1052
PF00168,C2 domain,pfam,domain,IPR000008,-,-,A0FGR8,921
PF17047,Synaptotagmin-like mitochondrial-lipid-binding domain,pfam,domain,IPR039010,-,-,A0FGR8,921
PF12624,"VPS13-like, N-terminal",pfam,domain,IPR026854,-,-,A0JNW5,1464
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,A1IGU5,675
PF00621,RhoGEF domain,pfam,domain,IPR000219,-,-,A1IGU5,675
PF07653,Variant SH3 domain,pfam,domain,IPR001452,-,-,A1IGU5,675
PF00205,"Thiamine pyrophosphate enzyme, central domain",pfam,domain,IPR012000,-,-,A1L0T0,632
PF02775,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",pfam,domain,IPR011766,-,-,A1L0T0,632
PF02776,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain",pfam,domain,IPR012001,-,-,A1L0T0,632
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,A1X283,911
PF00787,PX domain,pfam,domain,IPR001683,-,-,A1X283,911
PF07653,Variant SH3 domain,pfam,domain,IPR001452,-,-,A1X283,911
PF00085,Thioredoxin,pfam,domain,IPR013766,-,-,A1Z1Q3,425
PF01661,Macro domain,pfam,domain,IPR002589,-,-,A1Z1Q3,425
PF00587,"tRNA synthetase class II core domain (G, H, P, S and T)",pfam,domain,IPR002314,-,-,A2RTX5,802
PF02824,TGS domain,pfam,domain,IPR004095,-,-,A2RTX5,802
PF03129,Anticodon binding domain,pfam,domain,IPR004154,-,-,A2RTX5,802
PF07973,Threonyl and Alanyl tRNA synthetase second additional domain,pfam,domain,IPR012947,-,-,A2RTX5,802
PF07728,AAA domain (dynein-related subfamily),pfam,domain,IPR011704,-,-,A3KMH1,1905
PF18706,D-ribitol-5-phosphate cytidylyltransferase C-terminal domain,pfam,domain,IPR040635,-,-,A4D126,451
PF01018,GTP1/OBG,pfam,domain,IPR006169,-,-,A4D1E9,387
PF00753,Metallo-beta-lactamase superfamily,pfam,domain,IPR001279,-,-,A4D2B0,266
PF07200,Modifier of rudimentary (Mod(r)) protein,pfam,domain,IPR009851,-,-,A5D8V6,355
PF01369,Sec7 domain,pfam,domain,IPR000904,-,-,A5PKW4,1024
PF15410,Pleckstrin homology domain,pfam,domain,IPR041681,-,-,A5PKW4,1024
PF15632,ATP-grasp in the biosynthetic pathway with Ter operon,pfam,domain,-,-,-,A5YM72,827
PF18130,ATP-grasp N-terminal domain,pfam,domain,IPR041472,-,-,A5YM72,827
PF13242,HAD-hyrolase-like,pfam,domain,-,-,-,A6NDG6,321
PF13344,Haloacid dehalogenase-like hydrolase,pfam,domain,IPR006357,-,-,A6NDG6,321
PF00651,BTB/POZ domain,pfam,domain,IPR000210,-,-,A6NE02,478
PF07707,BTB And C-terminal Kelch,pfam,domain,IPR011705,-,-,A6NE02,478
PF00047,Immunoglobulin domain,pfam,domain,IPR013151,-,-,A6NGN9,336
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,A6NGN9,336
PF06470,SMC proteins Flexible Hinge Domain,pfam,domain,IPR010935,-,-,A6NHR9,2005
PF13589,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",pfam,domain,-,-,-,A6NHR9,2005
PF13840,ACT domain,pfam,domain,IPR027795,-,-,A6NHX0,329
PF18700,Cytosolic arginine sensor for mTORC1 subunit 1 N-terminal domain,pfam,domain,IPR040778,-,-,A6NHX0,329
PF21389,"Cytosolic arginine sensor for mTORC1 subunit 1/2, ACT-like",pfam,domain,IPR049479,-,-,A6NHX0,329
PF00620,RhoGAP domain,pfam,domain,IPR000198,-,-,A7KAX9,2087
PF14604,Variant SH3 domain,pfam,domain,IPR001452,-,-,A7KAX9,2087
PF00370,"FGGY family of carbohydrate kinases, N-terminal domain",pfam,domain,IPR018484,-,-,Q9UHJ6,478
PF07686,Immunoglobulin V-set domain,pfam,domain,IPR013106,-,-,A0A0C4DH38,117
